2026-05-10 17:07:20 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 80ms
2026-05-10 17:07:20 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 79ms
2026-05-10 17:07:20 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 69ms
2026-05-10 17:07:20 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 79ms
2026-05-10 17:07:20 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 70ms
2026-05-10 17:07:20 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 73ms
2026-05-10 17:07:20 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 83ms
2026-05-10 17:07:21 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 229ms
2026-05-10 17:07:21 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 120ms
2026-05-10 17:07:21 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 73ms
2026-05-10 17:07:21 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 91ms
2026-05-10 17:07:22 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 251ms
2026-05-10 17:07:22 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 277ms
2026-05-10 17:07:22 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 154ms
2026-05-10 17:07:22 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 98ms
2026-05-10 17:07:22 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 73ms
2026-05-10 17:07:22 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 70ms
2026-05-10 17:07:23 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 75ms
2026-05-10 17:07:23 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 70ms
2026-05-10 17:07:23 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 93ms
2026-05-10 17:07:23 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 71ms
2026-05-10 17:07:23 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 83ms
2026-05-10 17:07:23 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 68ms
2026-05-10 17:07:24 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 81ms
2026-05-10 17:07:24 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 71ms
2026-05-10 17:07:24 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 83ms
2026-05-10 17:07:24 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 70ms
2026-05-10 17:07:24 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 80ms
2026-05-10 17:07:24 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 70ms
2026-05-10 17:07:24 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 75ms
2026-05-10 17:07:24 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 80ms
2026-05-10 17:07:25 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 71ms
2026-05-10 17:07:25 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 75ms
2026-05-10 17:07:25 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 69ms
2026-05-10 17:07:25 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 71ms
2026-05-10 17:07:25 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 73ms
2026-05-10 17:07:25 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 77ms
2026-05-10 17:07:25 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 69ms
2026-05-10 17:07:26 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 80ms
2026-05-10 17:07:26 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 67ms
2026-05-10 17:07:26 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 76ms
2026-05-10 17:07:26 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 88ms
2026-05-10 17:07:26 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 80ms
2026-05-10 17:07:26 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 77ms
2026-05-10 17:07:26 | ACTION | ExecuteSellMarket XAUUSDm | Latency: 73ms
